country_iso3c	party	election_date	manifesto_id	lang	qs_nr	qs_id	text	cmp_code	issue	issue_binary	position
SWE	11420	2006-09-17	11420_200609	swe	58	11420_200609_00058	Svensk integrationspolitik har misslyckats.	607	integration	immigration/integration	sceptical
SWE	11420	2006-09-17	11420_200609	swe	163	11420_200609_00163	En halv miljon människor bor i dessa utanförskapsområden,	503	integration	immigration/integration	neutral
SWE	11420	2006-09-17	11420_200609	swe	164	11420_200609_00164	av vilka en majoritet är invandrade eller barn till invandrade personer. Det ger utanförskapet en etnisk dimension som är ytterst problematisk	706	integration	immigration/integration	supportive
SWE	11420	2006-09-17	11420_200609	swe	165	11420_200609_00165	och föder en destruktiv vi-mot-dom-känsla.	606	integration	immigration/integration	supportive
SWE	11420	2006-09-17	11420_200609	swe	166	11420_200609_00166	Att bryta utanförskapet kräver en lång rad åtgärder. Det socialdemokratiska misslyckandet kommer inte helt kunna repareras på några få år,	305	integration	immigration/integration	supportive
SWE	11420	2006-09-17	11420_200609	swe	175	11420_200609_00175	kombinerat med språkinlärning	506	integration	immigration/integration	sceptical
SWE	11420	2006-09-17	11420_200609	swe	180	11420_200609_00180	Principerna ska naturligtvis vara desamma för alla, invandrare såväl som svenskfödda.	503	integration	immigration/integration	supportive
SWE	11420	2006-09-17	11420_200609	swe	182	11420_200609_00182	Den som däremot är frisk och arbetsför, men ändå inte vill delta, förlorar rätten till bidrag	505	integration	immigration/integration	sceptical
SWE	11420	2006-09-17	11420_200609	swe	183	11420_200609_00183	– erfarenhetsmässigt beror det i många fall på att personerna föredrar att försörja sig genom svartarbete.	505	integration	immigration/integration	supportive
SWE	11420	2006-09-17	11420_200609	swe	184	11420_200609_00184	Nyinflyttade flyktingar och flyktinganhöriga som har rätt till introduktionsersättning ska också omfattas av garantin.	705	integration	immigration/integration	supportive
SWE	11420	2006-09-17	11420_200609	swe	185	11420_200609_00185	1. EN STOR SPRÅKSATSNING GENOMFÖRS riktad mot vuxna invandrare som önskar förbättra sina kunskaper i svenska språket.	705	integration	immigration/integration	supportive
SWE	11420	2006-09-17	11420_200609	swe	186	11420_200609_00186	En sådan satsning ska öppna för möjligheten att reparera följderna av den ofta undermåliga sfi-undervisningen (sfi = svenska för invandrare) som hittills erbjudits invandrade personer.	705	integration	immigration/integration	supportive
SWE	11420	2006-09-17	11420_200609	swe	187	11420_200609_00187	Det är angeläget att andelen invandrare som går sfi ökar –	705	integration	immigration/integration	supportive
SWE	11420	2006-09-17	11420_200609	swe	188	11420_200609_00188	idag tycks rätt många föredra att lära sig svenska på egen hand.	705	integration	immigration/integration	supportive
SWE	11420	2006-09-17	11420_200609	swe	189	11420_200609_00189	Kvaliteten måste höjas	506	integration	immigration/integration	supportive
SWE	11420	2006-09-17	11420_200609	swe	194	11420_200609_00194	2. NYSTARTJOBB BLIR STARTJOBB FÖR ARBETSLÖSA i syfte att ge dem en direkt möjlighet att komma in på arbetsmarknaden.	412	integration	immigration/integration	supportive
SWE	11420	2006-09-17	11420_200609	swe	199	11420_200609_00199	i syfte att öppna arbetsmarknaden för alla.	503	integration	immigration/integration	supportive
SWE	11420	2006-09-17	11420_200609	swe	200	11420_200609_00200	Skadeståndsbeloppet vid all arbetsmarknadsrelaterad diskriminering ska höjas substantiellt till minst ett års förlorad arbetsinkomst.	503	integration	immigration/integration	supportive
SWE	11420	2006-09-17	11420_200609	swe	201	11420_200609_00201	För att bekämpa den etniska bortsorteringen som uppenbarligen förekommer på den svenska arbetsmarknaden	503	integration	immigration/integration	supportive
SWE	11420	2006-09-17	11420_200609	swe	202	11420_200609_00202	vill vi snarast inleda försöksverksamhet med avidentifiering av ansökningshandlingar i personalrekrytering för offentliga arbetsgivare.	503	integration	immigration/integration	supportive
SWE	11420	2006-09-17	11420_200609	swe	209	11420_200609_00209	Det skapar förankring och starka incitament hos de boende att förbättra sin omgivande boendemiljö.	201	integration	immigration/integration	supportive
SWE	11420	2006-09-17	11420_200609	swe	210	11420_200609_00210	Nu- varande stopplagar för ombildning av hyresrätter till bostadsrätter bör avskaffas.	401	integration	immigration/integration	neutral
SWE	11420	2006-09-17	11420_200609	swe	211	11420_200609_00211	SATSNING PÅ SVENSKA SPRÅKET OCH SVERIGEKUNSKAP FÖR INVANDRADE BARN i syfte att hindra skolmisslyckanden.	705	integration	immigration/integration	supportive
SWE	11420	2006-09-17	11420_200609	swe	212	11420_200609_00212	Den svenska skolan har stora generella problem	506	integration	immigration/integration	sceptical
SWE	11420	2006-09-17	11420_200609	swe	213	11420_200609_00213	och just invandrarbarnens del i dessa problem ska inte överdrivas	705	integration	immigration/integration	supportive
SWE	11420	2006-09-17	11420_200609	swe	214	11420_200609_00214	– en jämförelse mellan stora grupper visar att invandrarflickor klarar sig bättre i skolan än svenskfödda pojkar,	705	integration	immigration/integration	supportive
SWE	11420	2006-09-17	11420_200609	swe	215	11420_200609_00215	vilket illustrerar att det finns andra faktorer än invandring av betydelse i sammanhanget.	705	integration	immigration/integration	supportive
SWE	11420	2006-09-17	11420_200609	swe	216	11420_200609_00216	En grupp som av naturliga skäl har en del extra problem är barn som kommer till Sverige under skolåldern.	705	integration	immigration/integration	neutral
SWE	11420	2006-09-17	11420_200609	swe	217	11420_200609_00217	Barn i den gruppen får alltför ofta stora problem i skolan.	705	integration	immigration/integration	neutral
SWE	11420	2006-09-17	11420_200609	swe	218	11420_200609_00218	För denna grupp ska ett tilläggsprogram erbjudas	506	integration	immigration/integration	supportive
SWE	11420	2006-09-17	11420_200609	swe	219	11420_200609_00219	med möjlighet att få bättre kunskaper i svenska språket och om Sverige överhuvudtaget.	506	integration	immigration/integration	supportive
SWE	11420	2006-09-17	11420_200609	swe	220	11420_200609_00220	Regelbundna kontroller av språkutvecklingen ska införas	506	integration	immigration/integration	supportive
SWE	11420	2006-09-17	11420_200609	swe	221	11420_200609_00221	och tilläggsprogrammet ska bli obligatoriskt om skolan bedömer att språkutvecklingen inte är tillfredsställande.	506	integration	immigration/integration	sceptical
SWE	11420	2006-09-17	11420_200609	swe	222	11420_200609_00222	FLER SPRÅKFÖRSKOLOR I SEGREGERADE OMRÅDEN bör startas	506	integration	immigration/integration	supportive
SWE	11420	2006-09-17	11420_200609	swe	223	11420_200609_00223	i syfte att erbjuda invandrade barn och barn med annat modersmål möjlighet att förbättra sina språkfärdigheter i svenska.	705	integration	immigration/integration	supportive
SWE	11420	2006-09-17	11420_200609	swe	224	11420_200609_00224	FLER NÄRPOLISSTATIONER I UTANFÖRSKAPSOMRÅDENA.	605	integration	immigration/integration	sceptical
SWE	11420	2006-09-17	11420_200609	swe	225	11420_200609_00225	Närpolis- reformens ursprungliga intentioner ska följas.	605	integration	immigration/integration	supportive
SWE	11420	2006-09-17	11420_200609	swe	240	11420_200609_00240	Rekrytering av poliser som har annan etnisk bakgrund än svensk ska ökas;	605	integration	immigration/integration	supportive
SWE	11420	2006-09-17	11420_200609	swe	242	11420_200609_00242	misstänksamheten mot polisen bland barn och ungdomar ska brytas	605	integration	immigration/integration	supportive
SWE	11420	2006-09-17	11420_200609	swe	245	11420_200609_00245	socialsekreterartjänster ska inrättas vid polisstationerna i utsatta områden i syfte att påskynda hjälpinsatserna vid polisingripanden.	605	immigration	immigration/integration	sceptical
SWE	11420	2006-09-17	11420_200609	swe	246	11420_200609_00246	REGLER FÖR UTVISNING FÖRTYDLIGAS OCH ÅTERRESEFÖRBUDET SKÄRPS.	605	immigration	immigration/integration	sceptical
SWE	11420	2006-09-17	11420_200609	swe	247	11420_200609_00247	En utredning ska tillsättas i syfte att precisera utlänningslagens utvisningsregler.	605	immigration	immigration/integration	sceptical
SWE	11420	2006-09-17	11420_200609	swe	248	11420_200609_00248	Mycket tyder på att dagens system missbrukas av personer som vill ha Sverige som bas för brottslig verksamhet	605	integration	immigration/integration	sceptical
SWE	11420	2006-09-17	11420_200609	swe	249	11420_200609_00249	och bara bryr sig om barn och andra anhöriga i Sverige när dessa åberopas som bevis på anknytning till landet.	605	integration	immigration/integration	supportive
SWE	11420	2006-09-17	11420_200609	swe	250	11420_200609_00250	En uppenbar brist i vår lagstiftning är att det inte finns några bestämmelser om när frågan om utvisning ska tas upp till prövning.	605	immigration	immigration/integration	sceptical
SWE	11420	2006-09-17	11420_200609	swe	251	11420_200609_00251	Eftersom den avgörande skillnaden mellan medborgarskap och permanent uppehållstillstånd, förutom rätten att rösta i riksdagsval, är möjligheten att bli utvisad, anser vi att det naturliga är att frågan om utvisning alltid ska prövas när en person utan svenskt medborgarskap döms för ett grovt brott.	605	immigration	immigration/integration	sceptical
SWE	11420	2006-09-17	11420_200609	swe	252	11420_200609_00252	Tiden för återvändandeförbudet bör normalt vara längre än idag.	605	integration	immigration/integration	sceptical
SWE	11420	2006-09-17	11420_200609	swe	253	11420_200609_00253	Skyddet för brottsoffret ska prioriteras när beslut tas om utvisning och återreseförbud.	605	integration	immigration/integration	sceptical
SWE	11420	2006-09-17	11420_200609	swe	254	11420_200609_00254	OMFATTANDE INSATSER SKA GÖRAS MOT HEDERSVÅLD OCH ANDRA KRÄNKNINGAR AV INDIVIDENS INTEGRITET..	605	immigration	immigration/integration	sceptical
SWE	11420	2006-09-17	11420_200609	swe	259	11420_200609_00259	– särskilt om betydelsen av jämställdhet, barnens rättigheter och respekten för individens integritet –	601	integration	immigration/integration	supportive
SWE	11420	2006-09-17	11420_200609	swe	260	11420_200609_00260	ska ges åt alla de som flyr eller flyttar till Sverige.	601	immigration	immigration/integration	supportive
SWE	11420	2006-09-17	11420_200609	swe	261	11420_200609_00261	Informationsmaterialet ska översättas till de språk som våra stora flykting- och invandrargrupper talar	601	integration	immigration/integration	supportive
SWE	11420	2006-09-17	11420_200609	swe	262	11420_200609_00262	och användas som obligatoriskt undervisningsmaterial inom ramen för svenska för invandrare, sfi.	601	integration	immigration/integration	sceptical
SWE	11420	2006-09-17	11420_200609	swe	263	11420_200609_00263	SPRÅKKRAV FÖR MEDBORGARSKAP BÖR INFÖRAS.	601	integration	immigration/integration	sceptical
SWE	11420	2006-09-17	11420_200609	swe	264	11420_200609_00264	DE FÖRSLAG SOM FRAMFÖRTS OM SÄRLAGSTIFTNING FÖR MUSLIMER MÅSTE AVVISAS TYDLIGT	503	integration	immigration/integration	sceptical
SWE	11420	2006-09-17	11420_200609	swe	487	11420_200609_00487	Folkpartiet anser att Sverige ska föra en tydlig politik för demokrati och mänskliga rättigheter.	201	integration	immigration/integration	neutral
SWE	11420	2006-09-17	11420_200609	swe	488	11420_200609_00488	Den internationella solidariteten	107	immigration	immigration/integration	neutral
SWE	11420	2006-09-17	11420_200609	swe	490	11420_200609_00490	BISTÅND FÖR DEMOKRATI OCH SÄKERHET. Enprocentsmålet ska gälla.	107	immigration	immigration/integration	neutral
SWE	11520	2006-09-17	11520_200609	swe	57	11520_200609_00057	för att underlätta för små företag	401	integration	immigration/integration	supportive
SWE	11520	2006-09-17	11520_200609	swe	59	11520_200609_00059	och invandrare	705	integration	immigration/integration	supportive
SWE	11520	2006-09-17	11520_200609	swe	61	11520_200609_00061	En god infrastruktur är en nödvändighet i vårt vidsträckta land.	411	integration	immigration/integration	supportive
SWE	11520	2006-09-17	11520_200609	swe	84	11520_200609_00084	Statusen för medborgarskap ska höjas,	601	integration	immigration/integration	supportive
SWE	11520	2006-09-17	11520_200609	swe	86	11520_200609_00086	Alla som blir myndiga och som beviljas svenskt medborgarskap ska få en medborgarbok, som beskriver våra rättigheter, skyldigheter och vårt ansvar.	601	integration	immigration/integration	supportive
SWE	11520	2006-09-17	11520_200609	swe	88	11520_200609_00088	som syftar till att stimulera till ett fördjupat samtal kring etik, människosyn, hederlighet, personligt ansvar och jämställdhet.	606	integration	immigration/integration	supportive
SWE	11520	2006-09-17	11520_200609	swe	110	11520_200609_00110	öppnare gränser	107	immigration	immigration/integration	supportive
SWE	11620	2006-09-17	11620_200609	swe	52	11620_200609_00052	Unga invandrarkillar ska kunna känna sig lika välkomna som andra på krogar och uteställen.	705	integration	immigration/integration	supportive
SWE	11620	2006-09-17	11620_200609	swe	53	11620_200609_00053	Tidiga och tydliga insatser ska prägla rättssamhällets arbete	605	integration	immigration/integration	sceptical
SWE	11620	2006-09-17	11620_200609	swe	86	11620_200609_00086	genom människor med olika erfarenheter, härkomst och kulturell och religiös identitet.	607	integration	immigration/integration	supportive
SWE	11620	2006-09-17	11620_200609	swe	242	11620_200609_00242	En avgörande faktor för att hantera globaliseringens och demografins utmaningar är att förbättra integrationen	705	immigration	immigration/integration	supportive
SWE	11620	2006-09-17	11620_200609	swe	243	11620_200609_00243	och öka möjligheterna till rörlighet över gränserna.	107	integration	immigration/integration	supportive
SWE	11620	2006-09-17	11620_200609	swe	244	11620_200609_00244	I detta avseende bör rådet dra lärdomar av olika länders integrationsarbete utifrån ett brett perspektiv,	107	integration	immigration/integration	supportive
SWE	11620	2006-09-17	11620_200609	swe	245	11620_200609_00245	inrymmande även språkkunskapernas betydelse för medborgarskap och värdet av en blandad arbetskrafts- och flyktinginvandring	705	integration	immigration/integration	supportive
SWE	11620	2006-09-17	11620_200609	swe	246	11620_200609_00246	för att underlätta en fungerande integration i Sverige.	705	integration	immigration/integration	supportive
SWE	11620	2006-09-17	11620_200609	swe	247	11620_200609_00247	Ett förslag som ska värderas är att införa ett green card-system för arbetskraftsinvandring i Sverige.	705	immigration	immigration/integration	supportive
SWE	11620	2006-09-17	11620_200609	swe	248	11620_200609_00248	Arbetet i globaliseringsrådet ska präglas av ett engagemang för Sverige som ligger bortom partipolitikens ibland konfliktorienterade och kortsiktiga hållning.	404	immigration	immigration/integration	supportive
SWE	11620	2006-09-17	11620_200609	swe	270	11620_200609_00270	Bland dem som befinner sig allra längst från arbetsmarknaden finns många kvinnor med utländsk bakgrund.	705	integration	immigration/integration	supportive
SWE	11620	2006-09-17	11620_200609	swe	292	11620_200609_00292	All diskriminering på grund av kön, etnisk eller religiös tillhörighet, sexuell läggning, ålder, social position eller funktionshinder måste bekämpas.	503	integration	immigration/integration	supportive
SWE	11620	2006-09-17	11620_200609	swe	329	11620_200609_00329	Var femte person som bor i Sverige har utländsk bakgrund. Vi vill leva i ett öppet samhälle som präglas av gemenskap och mångfald.	607	integration	immigration/integration	supportive
SWE	11620	2006-09-17	11620_200609	swe	330	11620_200609_00330	En genomgående linje i vår integrationspolitik är att riva hinder och öppna möjligheter.	705	integration	immigration/integration	supportive
SWE	11620	2006-09-17	11620_200609	swe	331	11620_200609_00331	Invandrare ska respekteras som individer och inte betraktas som ett homogent kollektiv.	705	immigration	immigration/integration	supportive
SWE	11620	2006-09-17	11620_200609	swe	332	11620_200609_00332	Det behövs inte mer kontroll eller lägre bidrag för just invandrare,	705	integration	immigration/integration	supportive
SWE	11620	2006-09-17	11620_200609	swe	333	11620_200609_00333	utan en politik som frigör människors inneboende kraft.	201	integration	immigration/integration	supportive
SWE	11620	2006-09-17	11620_200609	swe	335	11620_200609_00335	och för ett samhälle som präglas av gemenskap och samhörighet,	606	integration	immigration/integration	supportive
SWE	11620	2006-09-17	11620_200609	swe	336	11620_200609_00336	där ingen grupp ställs åt sidan eller diskrimineras.	705	integration	immigration/integration	supportive
SWE	11620	2006-09-17	11620_200609	swe	337	11620_200609_00337	Den svenska integrationspolitiken har misslyckats. Alltför många har alltför svårt att ta sig in i samhällslivet och på arbetsmarknaden.	705	integration	immigration/integration	sceptical
SWE	11620	2006-09-17	11620_200609	swe	338	11620_200609_00338	Svenskundervisningen för nyanlända invandrare uppvisar dåliga resultat,	705	integration	immigration/integration	supportive
SWE	11620	2006-09-17	11620_200609	swe	339	11620_200609_00339	och många deltar inte i utbildningen.	705	integration	immigration/integration	neutral
SWE	11620	2006-09-17	11620_200609	swe	340	11620_200609_00340	Klyftorna vidgas socialt och ekonomiskt.	503	integration	immigration/integration	supportive
SWE	11620	2006-09-17	11620_200609	swe	341	11620_200609_00341	Sverige ska vara ett land av möjligheter för alla.	503	integration	immigration/integration	supportive
SWE	11620	2006-09-17	11620_200609	swe	342	11620_200609_00342	De bästa vägarna till integration är arbete och språkkunskaper.	705	integration	immigration/integration	supportive
SWE	11620	2006-09-17	11620_200609	swe	343	11620_200609_00343	Vi vill förbättra integrationen på arbetsmarknaden och motverka diskriminering.	705	immigration	immigration/integration	neutral
SWE	11620	2006-09-17	11620_200609	swe	344	11620_200609_00344	Nystartsjobb ska gälla under de tre första åren i Sverige för dem som beviljats uppehållstillstånd.	705	integration	immigration/integration	supportive
SWE	11620	2006-09-17	11620_200609	swe	345	11620_200609_00345	Vi vill också öppna för ett system med lärlingsintroduktion.	705	integration	immigration/integration	supportive
SWE	11620	2006-09-17	11620_200609	swe	346	11620_200609_00346	Det är viktigt att invandrare erbjuds en god språkutbildning.	506	integration	immigration/integration	supportive
SWE	11620	2006-09-17	11620_200609	swe	347	11620_200609_00347	Vi vill öka valfriheten och ersätta dagens svenska för invandrare (SFI) med en utbildningspeng där var och en själv kan välja utbildare.	401	integration	immigration/integration	supportive
SWE	11620	2006-09-17	11620_200609	swe	348	11620_200609_00348	Idag får endast 25 procent av de nyanlända flyktingarna sin utbildning värderad och ännu färre har fått sin yrkeserfarenhet validerad efter två år i introduktion.	705	integration	immigration/integration	supportive
SWE	11620	2006-09-17	11620_200609	swe	350	11620_200609_00350	Också bedömningen av praktiska yrkeskunskaper måste förbättras, t.ex. genom fristående yrkesprov.	705	integration	immigration/integration	supportive
SWE	11620	2006-09-17	11620_200609	swe	362	11620_200609_00362	Många kommuner har under senare år infört så kallade medborgarskapsceremonier. Det är en utveckling som vi vill uppmuntra.	601	integration	immigration/integration	supportive
SWE	11620	2006-09-17	11620_200609	swe	363	11620_200609_00363	Krafttag måste tas i kampen mot den etniska bortsorteringen på den svenska arbetsmarknaden.	705	integration	immigration/integration	supportive
SWE	11620	2006-09-17	11620_200609	swe	364	11620_200609_00364	Därför krävs en tydlig, effektiv och samlad lagstiftning mot diskriminering.	605	integration	immigration/integration	neutral
SWE	11620	2006-09-17	11620_200609	swe	366	11620_200609_00366	En väg att minska risken för diskriminering i arbetslivet är att använda ett anonymiserat anställningsförfarande.	503	integration	immigration/integration	supportive
SWE	11620	2006-09-17	11620_200609	swe	368	11620_200609_00368	Även om de allra flesta invandrare inte begår brott är andelen brottslingar bland utlandsfödda dubbelt så stor som bland inrikes födda.	608	integration	immigration/integration	sceptical
SWE	11620	2006-09-17	11620_200609	swe	369	11620_200609_00369	Det är ett socialt problem, som behöver tas på större allvar.	605	integration	immigration/integration	sceptical
SWE	11620	2006-09-17	11620_200609	swe	370	11620_200609_00370	Utlandsfödda är överrepresenterade bland brottsoffren varför en nedgång i brottsligheten har störst positiv effekt för invandrarna.	705	integration	immigration/integration	neutral
SWE	11620	2006-09-17	11620_200609	swe	371	11620_200609_00371	Huvudvägen att bekämpa brottslighet är alltid att undanröja sociala orsaker.	504	integration	immigration/integration	supportive
SWE	11620	2006-09-17	11620_200609	swe	373	11620_200609_00373	Vid allvarliga brott bör huvudregeln vara att utländska medborgare ska dömas till utvisning.	608	integration	immigration/integration	neutral
SWE	11620	2006-09-17	11620_200609	swe	395	11620_200609_00395	Föräldrars utbildningsnivå och utanförskap får inte tillåtas avgöra barnens chanser att klara skolan.	503	integration	immigration/integration	neutral
SWE	11620	2006-09-17	11620_200609	swe	413	11620_200609_00413	Två av tre av dessa har svensk bakgrund, en av tre utländsk.	706	immigration	immigration/integration	sceptical
SWE	11620	2006-09-17	11620_200609	swe	663	11620_200609_00663	liksom terrorism.	104	immigration	immigration/integration	supportive
SWE	11620	2006-09-17	11620_200609	swe	841	11620_200609_00841	och att skadlig protektionism undanröjs.	407	immigration	immigration/integration	supportive
